"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"BERNARDPIERCE","RB","Bernard Pierce","BAL",39,137,5,0,NA,0,0,0,3,50,0,0,0,0,0,0,0
"GOLDENTATE","WR","Golden Tate","DET",53,137,5,5,NA,0,0,0,0,0,0,4,50,0,0,0,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",54,139,4.9,6,NA,0,0,0,0,0,0,4,49,0,0,0,0
"DONALDBROWN","RB","Donald Brown","SD",40,139,4.9,6,NA,0,0,0,0,0,0,5,49,0,0,0,0
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",41,141,4.8,5,NA,0,0,0,3,20,0,5,28,0,0,0,0
"RYANMATHEWS","RB","Ryan Mathews","SD",41,141,4.8,1,NA,0,0,0,11,44,0,1,4,0,0,0,0
"PEYTONMANNING","QB","Peyton Manning","DEN",31,143,4.72,0,NA,173,0,2,2,-2,0,0,0,0,0,0,0
"STEDMANBAILEY","WR","Stedman Bailey","STL",55,144,4.7,2,NA,0,0,0,0,0,0,2,47,0,0,0,0
"NICKTOON","WR","Nick Toon","NO",56,145,4.5,4,NA,0,0,0,0,0,0,4,45,0,0,0,0
"SILASREDD","RB","Silas Redd Jr.","WAS",43,146,4.4,4,NA,0,0,0,1,8,0,3,36,0,0,0,0
"SANTANAMOSS","WR","Santana Moss","WAS",57,147,4.3,5,NA,0,0,0,0,0,0,3,43,0,0,0,0
"PHILLYBROWN","WR","Philly Brown","CAR",58,148,4.2,5,NA,0,0,0,0,0,0,3,42,0,0,0,0
"JORDANCAMERON","TE","Jordan Cameron","CLE",17,149,4.1,5,NA,0,0,0,0,0,0,4,41,0,0,0,0
"CHARLESCLAY","TE","Charles Clay","MIA",17,149,4.1,3,NA,0,0,0,0,0,0,2,41,0,0,0,0
"MIKEWALLACE","WR","Mike Wallace","MIA",59,151,3.9,4,NA,0,0,0,0,0,0,3,39,0,0,0,0
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",60,152,3.8,7,NA,0,0,0,0,0,0,4,38,0,0,0,0
"ANDREHOLMES","WR","Andre Holmes","OAK",60,152,3.8,5,NA,0,0,0,0,0,0,2,38,0,0,0,0
"BRIANHOYER","QB","Brian Hoyer","CLE",32,154,3.74,0,NA,136,0,2,2,3,0,0,0,0,0,0,0
"ROBERTWOODS","WR","Robert Woods","BUF",62,155,3.6,4,NA,0,0,0,0,0,0,3,36,0,0,0,0
"MARKINGRAM","RB","Mark Ingram","NO",44,155,3.6,2,NA,0,0,0,10,43,0,2,13,0,0,0,1
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",44,155,3.6,5,NA,0,0,0,6,17,0,3,19,0,0,0,0
"ROBERTHUGHES","RB","Robert Hughes","ARI",46,158,3.5,1,NA,0,0,0,1,-1,0,1,36,0,0,0,0
"TOBYGERHART","RB","Toby Gerhart","JAX",46,158,3.5,3,NA,0,0,0,5,19,0,2,16,0,0,0,0
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",48,160,3.4,3,NA,0,0,0,3,20,0,1,14,0,0,0,0
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",63,160,3.4,9,NA,0,0,0,0,0,0,4,34,0,0,0,0
"ANTONIOGATES","TE","Antonio Gates","SD",19,160,3.4,8,NA,0,0,0,0,0,0,5,34,0,0,0,0
"REGGIEBUSH","RB","Reggie Bush","DET",48,160,3.4,6,NA,0,0,0,8,26,0,4,8,0,0,0,0
"DONTEMONCRIEF","WR","Donte Moncrief","IND",64,164,3.3,4,NA,0,0,0,0,0,0,3,33,0,0,0,0
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",50,165,3.2,0,NA,0,0,0,6,32,0,0,0,0,0,0,0
"SHANEVEREEN","RB","Shane Vereen","NE",51,166,3.1,4,NA,0,0,0,1,1,0,3,30,0,0,0,0
"MARKUSWHEATON","WR","Markus Wheaton","PIT",65,166,3.1,3,NA,0,0,0,0,0,0,2,31,0,0,0,0
"TRENTRICHARDSON","RB","Trent Richardson","IND",52,168,3,0,NA,0,0,0,7,30,0,0,0,0,0,0,0
"LESEANMCCOY","RB","LeSean McCoy","PHI",52,168,3,0,NA,0,0,0,17,50,0,0,0,0,0,0,1
"DENARDROBINSONJAX","RB","Denard Robinson Jax","JAX",52,168,3,3,NA,0,0,0,10,30,0,0,0,0,0,0,0
"MARLONBROWN","WR","Marlon Brown","BAL",66,168,3,3,NA,0,0,0,0,0,0,3,30,0,0,0,0
"KRISDURHAM","WR","Kris Durham","TEN",66,168,3,3,NA,0,0,0,0,0,0,3,30,0,0,0,0
"EDDIEROYAL","WR","Eddie Royal","SD",66,168,3,5,NA,0,0,0,0,0,0,2,30,0,0,0,0
"PHILLIPSUPERNAW","TE","Phillip Supernaw","BAL",20,174,2.9,1,NA,0,0,0,0,0,0,1,29,0,0,0,0
"DWAYNEBOWE","WR","Dwayne Bowe","KC",69,174,2.9,3,NA,0,0,0,0,0,0,2,29,0,0,0,0
"LANCEMOORE","WR","Lance Moore","PIT",69,174,2.9,2,NA,0,0,0,0,0,0,1,29,0,0,0,0
"JACOBYJONES","WR","Jacoby Jones","BAL",69,174,2.9,1,NA,0,0,0,1,11,0,1,18,0,0,0,0
"LARRYDONNELL","TE","Larry Donnell","NYG",21,178,2.8,7,NA,0,0,0,0,0,0,4,28,0,0,0,0
"ERICEBRON","TE","Eric Ebron","DET",21,178,2.8,4,NA,0,0,0,0,0,0,3,28,0,0,0,0
"DELANIEWALKER","TE","Delanie Walker","TEN",23,180,2.7,10,NA,0,0,0,0,0,0,4,27,0,0,0,0
"OWENDANIELS","TE","Owen Daniels","BAL",23,180,2.7,2,NA,0,0,0,0,0,0,2,27,0,0,0,0
"PAULRICHARDSON","WR","Paul Richardson","SEA",72,180,2.7,3,NA,0,0,0,0,0,0,2,27,0,0,0,0
"BISHOPSANKEY","RB","Bishop Sankey","TEN",55,180,2.7,3,NA,0,0,0,9,25,0,2,2,0,0,0,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",72,180,2.7,5,NA,0,0,0,0,0,0,1,27,0,0,0,0
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",56,185,2.6,1,NA,0,0,0,6,19,0,1,7,0,0,0,0
"VERNONDAVIS","TE","Vernon Davis","SF",25,185,2.6,4,NA,0,0,0,0,0,0,2,26,0,0,0,0
"JASONWITTEN","TE","Jason Witten","DAL",25,185,2.6,3,NA,0,0,0,0,0,0,2,26,0,0,0,0
"JORDANREED","TE","Jordan Reed","WAS",27,188,2.5,7,NA,0,0,0,0,0,0,3,25,0,0,0,0
"RYANGRIFFIN","TE","Ryan Griffin","HOU",27,188,2.5,1,NA,0,0,0,0,0,0,1,25,0,0,0,0
"JIMMYGRAHAM","TE","Jimmy Graham","NO",27,188,2.5,11,NA,0,0,0,0,0,0,3,25,0,0,0,0
"BRYCEBROWN","RB","Bryce Brown","BUF",57,188,2.5,3,NA,0,0,0,3,11,0,2,14,0,0,0,0
"JOSEPHMORGAN","WR","Joseph Morgan","NO",74,192,2.3,5,NA,0,0,0,0,0,0,2,23,0,0,0,0
"DAMARISJOHNSON","WR","Damaris Johnson","HOU",74,192,2.3,1,NA,0,0,0,1,12,0,1,11,0,0,0,0
"KENNYSTILLS","WR","Kenny Stills","NO",74,192,2.3,4,NA,0,0,0,0,0,0,3,23,0,0,0,0
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",74,192,2.3,5,NA,0,0,0,0,0,0,2,23,0,0,0,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",58,196,2.2,1,NA,0,0,0,2,5,0,1,17,0,0,0,0
"KEVINNORWOOD","WR","Kevin Norwood","SEA",78,196,2.2,2,NA,0,0,0,0,0,0,2,22,0,0,0,0
"DOUGMARTIN","RB","Doug Martin","TB",58,196,2.2,1,NA,0,0,0,5,22,0,1,0,0,0,0,0
"GARRETTCELEK","TE","Garrett Celek","SF",30,196,2.2,1,NA,0,0,0,0,0,0,1,22,0,0,0,0
"ROBERTTURBIN","RB","Robert Turbin","SEA",60,200,2.1,2,NA,0,0,0,4,7,0,1,14,0,0,0,0
"JOEBANYARD","RB","Joe Banyard","MIN",60,200,2.1,1,NA,0,0,0,1,9,0,1,12,0,0,0,0
"JOHNCARLSON","TE","John Carlson","ARI",31,200,2.1,1,NA,0,0,0,0,0,0,1,1,0,0,1,0
"BRANDONLAFELL","WR","Brandon LaFell","NE",79,200,2.1,9,NA,0,0,0,0,0,0,4,41,0,0,0,1
"CORYHARKEY","TE","Cory Harkey","STL",32,204,2,0,NA,0,0,0,0,0,0,0,0,0,0,1,0
"ROBHOUSLER","TE","Rob Housler","ARI",32,204,2,1,NA,0,0,0,0,0,0,1,20,0,0,0,0
"VINCENTBROWN","WR","Vincent Brown","OAK",80,204,2,1,NA,0,0,0,0,0,0,1,20,0,0,0,0
