"name","pos","name_espn","team_espn","positionRank_espn","overallRank_espn","pts_espn","passAtt_espn","passComp_espn","passYds_espn","passTds_espn","passInt_espn","rushAtt_espn","rushYds_espn","rushTds_espn","rec_espn","recYds_espn","recTds_espn","returnTds_espn","twoPts_espn","fumbles_espn"
"BLAKEBORTLES","QB","Blake Bortles","JAX",15,15,14.5,35.9,22.1,260.7,1.2,1.1,3.8,22.4,0.1,0,0,0,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",15,15,14.5,35,22.6,253.6,1.5,0.7,2.2,4.7,0.1,0,0,0,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",17,17,14.2,38.6,23.6,268.9,1.4,1.1,3,14.3,0.1,0,0,0,NA,NA,NA
"LEVEONBELL","RB","Le'Veon Bell","PIT",18,18,14,0,0,0,0,0,17.4,72,0.5,3.8,30.8,0.2,NA,NA,NA
"RYANMALLETT","QB","Ryan Mallett","HOU",19,19,13.8,36.2,22.3,269.4,1.4,1,1.3,3.8,0,0,0,0,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",20,20,13.7,31.8,19.5,227.1,1.5,0.9,3.2,9.8,0.1,0,0,0,NA,NA,NA
"DEREKCARR","QB","Derek Carr","OAK",20,20,13.7,37,23.2,249.7,1.6,0.8,2,6.1,0.1,0,0,0,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",20,20,13.7,41.2,24.8,297.8,1.4,1.2,1,1.9,0,0,0,0,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",23,23,13.4,35.4,22.5,240.4,1.1,0.7,3.8,19.6,0.1,0,0,0,NA,NA,NA
"KARLOSWILLIAMS","RB","Karlos Williams","BUF",23,23,13.4,0,0,0,0,0,19.2,81.5,0.7,1.9,15.1,0.1,NA,NA,NA
"JAMEISWINSTON","QB","Jameis Winston","TB",25,25,13.3,33.5,20,251,1.1,1.1,4.3,16.4,0.1,0,0,0,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",25,25,13.3,39.1,23.9,265.4,1.2,0.7,2.2,6.8,0.1,0,0,0,NA,NA,NA
"LATAVIUSMURRAY","RB","Latavius Murray","OAK",27,27,13.2,0,0,0,0,0,18,84.1,0.6,2.2,17.1,0.1,NA,NA,NA
"BRANDONWEEDEN","QB","Brandon Weeden","DAL",28,28,13.1,32.3,20.4,229.4,1.4,0.7,1.9,5.7,0.1,0,0,0,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",28,28,13.1,0,0,0,0,0,19.3,83.4,0.6,2.7,19.2,0.2,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","PHI",28,28,13.1,37.2,23.2,242.9,1.4,0.6,2.1,5.3,0.1,0,0,0,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",31,31,13,0,0,0,0,0,0.8,5.4,0,6.7,90.3,0.7,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",32,32,12.8,0,0,0,0,0,15.4,68.4,0.5,4.2,36.3,0.2,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",33,33,12.7,0,0,0,0,0,16.4,77.9,0.5,3.8,29.6,0.2,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",33,33,12.7,0,0,0,0,0,0.1,0.9,0,7.6,99.4,0.6,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",35,35,12.5,0,0,0,0,0,0,0,0,7.1,90.7,0.6,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","NYJ",35,35,12.5,32.9,19.9,219.8,1.4,1.1,3.6,15,0.1,0,0,0,NA,NA,NA
"MELVINGORDON","RB","Melvin Gordon","SD",37,37,11.9,0,0,0,0,0,18.2,82,0.5,1.4,11.3,0.1,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",38,38,11.8,0,0,0,0,0,16.8,74.6,0.6,1.6,12.6,0.1,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",39,39,11.7,0,0,0,0,0,17.1,70.8,0.4,2.9,24.3,0.1,NA,NA,NA
"JIMMYCLAUSEN","QB","Jimmy Clausen","CHI",39,39,11.7,32.4,19.5,219.4,1.2,0.7,2.9,8.7,0.1,0,0,0,NA,NA,NA
"JOSEPHRANDLE","RB","Joseph Randle","DAL",41,41,11.6,0,0,0,0,0,17.6,82.2,0.5,1.3,10.6,0,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","CLE",41,41,11.6,32.7,18.9,225,1,1.1,2.8,13.8,0.1,0,0,0,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","PHI",43,43,11.5,0,0,0,0,0,15.2,63,0.5,2.8,22.3,0.1,NA,NA,NA
"FRANKGORE","RB","Frank Gore","IND",43,43,11.5,0,0,0,0,0,18.3,72.9,0.5,2.2,18.1,0.1,NA,NA,NA
"ODELLBECKHAM","WR","Odell Beckham Jr.","NYG",45,45,11.4,0,0,0,0,0,0.3,2.2,0,7,93.8,0.4,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",46,46,11.1,0,0,0,0,0,0.4,2.5,0,6.4,83,0.5,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",46,46,11.1,32,19.1,220.8,0.9,1.1,3.4,18.5,0.1,0,0,0,NA,NA,NA
"MARKINGRAM","RB","Mark Ingram","NO",48,48,11,0,0,0,0,0,14.4,56.1,0.6,2.9,21.8,0.1,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",49,49,10.9,0,0,0,0,0,0.5,3.5,0,6.3,88.3,0.5,NA,NA,NA
"NICKFOLES","QB","Nick Foles","STL",50,50,10.8,37.1,22.8,258.5,0.9,1.3,2.1,9.4,0.1,0,0,0,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",51,51,10.4,0,0,0,0,0,16,70.1,0.6,0.9,6.7,0,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",51,51,10.4,0,0,0,0,0,16.1,67.5,0.5,2.1,16.9,0.1,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",53,53,10.3,0,0,0,0,0,16.7,74.9,0.4,1.6,11.1,0.1,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",53,53,10.3,0,0,0,0,0,15.3,63.5,0.3,3.4,26.5,0.1,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",55,55,10.2,0,0,0,0,0,0.3,1.9,0,5.5,78.3,0.5,NA,NA,NA
"KIRKCOUSINS","QB","Kirk Cousins","WAS",56,56,10.1,36.3,22.6,248.9,1,1.3,1.4,4.1,0,0,0,0,NA,NA,NA
