"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"RANDALLCOBB","WR","Randall Cobb","GB",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"ERICDECKER","WR","Eric Decker","NYJ",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"MICHAELFLOYD","WR","Michael Floyd","ARI",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,5,75,1,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",12,56,13.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,1,NA,NA,NA
"MATTASIATA","RB","Matt Asiata","MIN",18,70,13,NA,NA,NA,NA,NA,14,50,1,3,20,0,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",23,70,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",23,70,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"GOLDENTATE","WR","Golden Tate","DET",23,70,13,NA,NA,NA,NA,NA,NA,NA,NA,5,70,1,NA,NA,NA
"SAMMYWATKINS","WR","Sammy Watkins","BUF",23,70,13,NA,NA,NA,NA,NA,NA,NA,NA,6,70,1,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",19,75,12.5,NA,NA,NA,NA,NA,10,40,1,4,25,0,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",19,75,12.5,NA,NA,NA,NA,NA,16,65,1,0,0,0,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",27,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,1,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAC",27,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,1,NA,NA,NA
"BRIANQUICK","WR","Brian Quick","STL",27,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,1,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",27,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,1,NA,NA,NA
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",27,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,5,65,1,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",2,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,6,65,1,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",2,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,6,65,1,NA,NA,NA
"TRAVISKELCE","TE","Travis Kelce","KC",2,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,7,65,1,NA,NA,NA
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,6,65,1,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",2,75,12.5,NA,NA,NA,NA,NA,NA,NA,NA,6,65,1,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",32,87,12,NA,NA,NA,NA,NA,NA,NA,NA,5,60,1,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",7,87,12,NA,NA,NA,NA,NA,NA,NA,NA,6,60,1,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",7,87,12,NA,NA,NA,NA,NA,NA,NA,NA,6,60,1,NA,NA,NA
"JEREMYHILL","RB","Jeremy Hill","CIN",21,90,11,NA,NA,NA,NA,NA,10,40,1,2,10,0,NA,NA,NA
"LARRYDONNELL","TE","Larry Donnell","NYG",9,90,11,NA,NA,NA,NA,NA,NA,NA,NA,5,50,1,NA,NA,NA
"HEATHMILLER","TE","Heath Miller","PIT",9,90,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",9,90,11,NA,NA,NA,NA,NA,NA,NA,NA,4,50,1,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",22,94,8.5,NA,NA,NA,NA,NA,13,55,0,5,30,0,NA,NA,NA
"MONTEEBALL","RB","Montee Ball","DEN",23,95,8,NA,NA,NA,NA,NA,15,60,0,3,20,0,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",23,95,8,NA,NA,NA,NA,NA,19,65,0,2,15,0,NA,NA,NA
"CJSPILLER","RB","C.J. Spiller","BUF",25,97,7.5,NA,NA,NA,NA,NA,15,65,0,1,10,0,NA,NA,NA
"JULIANEDELMAN","WR","Julian Edelman","NE",33,97,7.5,NA,NA,NA,NA,NA,NA,NA,NA,7,75,0,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",33,97,7.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,0,NA,NA,NA
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",33,97,7.5,NA,NA,NA,NA,NA,NA,NA,NA,6,75,0,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",26,101,7,NA,NA,NA,NA,NA,10,40,0,4,30,0,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",26,101,7,NA,NA,NA,NA,NA,13,60,0,1,10,0,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",36,101,7,NA,NA,NA,NA,NA,NA,NA,NA,5,70,0,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","SD",28,104,6.5,NA,NA,NA,NA,NA,12,45,0,3,20,0,NA,NA,NA
