"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"MICHAELFLOYD","Michael Floyd","WR","ARI",45,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,50,12.5,0,NA,0,5
"MARQUESCOLSTON","Marques Colston","WR","NO",45,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,54,13.5,0,NA,0,5
"TAYLORGABRIEL","Taylor Gabriel","WR","CLE",45,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,58,19.3,0,NA,0,5
"ROBERTWOODS","Robert Woods","WR","BUF",45,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,57,11.4,0,NA,0,5
"DWAYNEBOWE","Dwayne Bowe","WR","KC",45,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50,10,0,NA,0,5
"RUEBENRANDLE","Rueben Randle","WR","NYG",45,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50,10,0,NA,0,5
"BRENTCELEK","Brent Celek","TE","PHI",16,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,50,12.5,0,NA,0,5
"JAREDCOOK","Jared Cook","TE","STL",16,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,50,10,0,NA,0,5
"DARRENSPROLES","Darren Sproles","RB","PHI",35,130,NA,NA,NA,NA,NA,NA,NA,3,24,8,0,3,28,9.3,0,NA,0,4
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",35,130,NA,NA,NA,NA,NA,NA,NA,10,37,3.7,0,2,11,5.5,0,NA,0,4
"MONTEEBALL","Montee Ball","RB","DEN",35,130,NA,NA,NA,NA,NA,NA,NA,10,43,4.3,0,1,4,4,0,NA,0,4
"DOUGBALDWIN","Doug Baldwin","WR","SEA",51,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,48,9.6,0,NA,0,4
"KENNYSTILLS","Kenny Stills","WR","NO",51,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,41,13.7,0,NA,0,4
"CHRISHOGAN","Chris Hogan","WR","BUF",51,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42,14,0,NA,0,4
"STEVEJOHNSON","Steve Johnson","WR","SF",51,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42,14,0,NA,0,4
"JARIUSWRIGHT","Jarius Wright","WR","MIN",51,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,46,11.5,0,NA,0,4
"PRESTONPARKER","Preston Parker","WR","NYG",51,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,42,10.5,0,NA,0,4
