"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"WILLTYE","TE","Will Tye","NYG",17,140,7.87,5.9,NA,0,0,0,0,0,0,3.9,39.7,0.3,0,0,0
"BRYCEBROWN","RB","Bryce Brown","SEA",38,141,7.81,1,NA,0,0,0,11.1,50.2,0.3,0.8,6.2,0.1,0,0,0.1
"DWAYNEHARRIS","WR","Dwayne Harris","NYG",55,142,7.76,5.5,NA,0,0,0,0.2,1.4,0,3.3,40.6,0.3,0.1,0,0
"COBYFLEENER","TE","Coby Fleener","IND",18,143,7.75,5.5,NA,0,0,0,0,0,0,3.6,43.4,0.3,0,0,0
"KENNYBRITT","WR","Kenny Britt","STL",56,144,7.71,5.7,NA,0,0,0,0,0,0,3.4,51.3,0.2,0,0,0
"TAYLORGABRIEL","WR","Taylor Gabriel","CLE",57,145,7.61,6.4,NA,0,0,0,0,0,0,3.8,48.5,0.2,0,0,0
"JACOBTAMME","TE","Jacob Tamme","ATL",19,146,7.57,5.7,NA,0,0,0,0,0,0,3.8,42.2,0.2,0,0,0
"MARQUESCOLSTON","WR","Marques Colston","NO",58,147,7.52,4.7,NA,0,0,0,0,0,0,3.2,42.3,0.3,0,0,0
"CHRISPOLK","RB","Chris Polk","HOU",39,147,7.52,1.7,NA,0,0,0,9.9,43.5,0.2,1.3,11.6,0.1,0,0,0
"ERICEBRON","TE","Eric Ebron","DET",20,149,7.51,5.1,NA,0,0,0,0,0,0,3.4,38.4,0.3,0,0,0
"JAMESSTARKS","RB","James Starks","GB",40,150,7.48,3.4,NA,0,0,0,6.5,27.5,0.1,2.7,21.1,0.1,0,0,0.1
"RYANGRIFFIN","TE","Ryan Griffin","HOU",21,151,7.47,5.1,NA,0,0,0,0,0,0,3.3,38.9,0.3,0,0,0
"JAMESJONES","WR","James Jones","GB",59,152,7.24,4.5,NA,0,0,0,0,0,0,2.8,39.9,0.3,0,0,0
"SHANEVEREEN","RB","Shane Vereen","NYG",41,153,7.18,4.4,NA,0,0,0,3.1,12,0,3.2,31.8,0.2,0,0,0
"VERNONDAVIS","TE","Vernon Davis","DEN",22,154,7.12,5.1,NA,0,0,0,0,0,0,3.3,43.2,0.2,0,0,0
"VANCEMCDONALD","TE","Vance McDonald","SF",23,155,7.03,5.6,NA,0,0,0,0,0,0,3.6,42.6,0.2,0,0,0
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",42,156,6.97,1.6,NA,0,0,0,9.7,37.1,0.3,1.2,10.1,0,0,0,0.1
"KESHAWNMARTIN","WR","Keshawn Martin","NE",60,157,6.96,4.2,NA,0,0,0,0,0,0,2.8,32.3,0.3,0.1,0,0
"HARRYDOUGLAS","WR","Harry Douglas","TEN",61,158,6.95,6.1,NA,0,0,0,0,0,0,3.3,40,0.2,0,0,0
"ANDREJOHNSON","WR","Andre Johnson","IND",62,159,6.93,5.6,NA,0,0,0,0,0,0,3.5,38.2,0.2,0,0,0
"CLIVEWALFORD","TE","Clive Walford","OAK",24,160,6.88,4.2,NA,0,0,0,0,0,0,2.8,32.6,0.4,0,0,0
"DUKEJOHNSON","RB","Duke Johnson Jr.","CLE",43,161,6.84,4.1,NA,0,0,0,5.5,18.3,0.1,3.2,26.7,0.1,0,0,0
"FOZZYWHITTAKER","RB","Fozzy Whittaker","CAR",44,162,6.8,1.2,NA,0,0,0,10.5,38.7,0.2,0.9,7.7,0.1,0,0,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",45,163,6.78,0.9,NA,0,0,0,10.4,46.4,0.2,0.7,5.6,0,0,0,0.1
"ALBERTWILSON","WR","Albert Wilson","KC",63,164,6.69,5,NA,0,0,0,0.5,3.1,0,3,34.6,0.2,0,0,0
"CHRISGIVENS","WR","Chris Givens","BAL",64,165,6.67,5.2,NA,0,0,0,0.2,1.5,0,2.7,45.2,0.1,0,0,0
"RISHARDMATTHEWS","WR","Rishard Matthews","MIA",65,166,6.6,4.7,NA,0,0,0,0,0,0,3.1,37.9,0.2,0,0,0
"PHILLIPDORSETT","WR","Phillip Dorsett","IND",66,167,6.58,4.9,NA,0,0,0,0.2,1.6,0,2.9,39.6,0.2,0,0,0
"DEVINFUNCHESS","WR","Devin Funchess","CAR",67,168,6.57,4.2,NA,0,0,0,0,0,0,2.5,33.4,0.3,0,0,0
"SPENCERWARE","RB","Spencer Ware","KC",46,169,6.56,1.1,NA,0,0,0,7,27.4,0.4,0.8,6.7,0,0,0,0
"MIKETOLBERT","RB","Mike Tolbert","CAR",47,170,6.53,2.1,NA,0,0,0,5.7,21.8,0.3,1.6,11.9,0.1,0,0,0
"RODDYWHITE","WR","Roddy White","ATL",68,170,6.53,4.9,NA,0,0,0,0,0,0,3.1,38,0.2,0,0,0
