"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"178","Cole Beasley","WR75","6","174","177","175.8","1.3","COLEBEASLEY"
"179","Marcus Mariota","QB22","4","155","194","169.3","17.5","MARCUSMARIOTA"
"180","Marcel Reece","RB60","6","151","157","154.0","3.0","MARCELREECE"
"181","Nate Washington","WR76","9","119","191","155.0","36.0","NATEWASHINGTON"
"182","Chris Givens","WR77","9","143","169","156.0","13.0","CHRISGIVENS"
"183","Richard Rodgers","TE24","7","153","226","179.7","32.9","RICHARDRODGERS"
"184","Larry Donnell","TE25","11","153","225","179.3","32.4","LARRYDONNELL"
"185","Kenny Britt","WR78","6","171","176","174.3","2.4","KENNYBRITT"
"186","Teddy Bridgewater","QB23","5","123","204","163.5","40.5","TEDDYBRIDGEWATER"
"187","Denard Robinson","RB61","8","173","180","175.3","3.3","DENARDROBINSON"
"188","Dontrelle Inman","WR79","10","125","125","125.0","0.0","DONTRELLEINMAN"
"189","Chris Polk","RB62","9","162","209","178.7","21.5","CHRISPOLK"
"190","Roy Helu","RB63","6","150","178","164.0","14.0","ROYHELU"
"191","Jerick McKinnon","RB64","5","151","189","170.0","19.0","JERICKMCKINNON"
"192","Jameis Winston","QB24","6","159","181","170.0","11.0","JAMEISWINSTON"
"193","Andre Williams","RB65","11","170","214","184.7","20.7","ANDREWILLIAMS"
"194","Phillip Dorsett","WR80","10","171","171","171.0","0.0","PHILLIPDORSETT"
"195","Dexter McCluster","RB66","4","165","180","172.5","7.5","DEXTERMCCLUSTER"
"196","Harry Douglas","WR81","4","145","145","145.0","0.0","HARRYDOUGLAS"
"197","Scott Chandler","TE26","4","147","147","147.0","0.0","SCOTTCHANDLER"
"198","J.J. Nelson","WR82","9","174","174","174.0","0.0","JJNELSON"
"199","Ty Montgomery","WR83","7","175","175","175.0","0.0","TYMONTGOMERY"
"200","Jared Cook","TE27","6","153","153","153.0","0.0","JAREDCOOK"
"201","Sam Bradford","QB25","8","159","195","177.0","18.0","SAMBRADFORD"
"202","Matt Cassel","QB26","6","155","205","180.0","25.0","MATTCASSEL"
"203","David Cobb","RB67","4","179","180","179.5","0.5","DAVIDCOBB"
"204","Bishop Sankey","RB68","4","161","215","188.0","27.0","BISHOPSANKEY"
"205","Coby Fleener","TE28","10","164","227","195.5","31.5","COBYFLEENER"
"206","Luke Willson","TE29","9","164","164","164.0","0.0","LUKEWILLSON"
"207","Jaelen Strong","WR84","9","177","188","182.5","5.5","JAELENSTRONG"
"208","Robert Woods","WR85","8","166","166","166.0","0.0","ROBERTWOODS"
"209","Fred Jackson","RB69","9","172","210","191.0","19.0","FREDJACKSON"
"210","Christine Michael","RB70","","172","172","172.0","0.0","CHRISTINEMICHAEL"
"211","Kendall Gaskins","RB71","10","173","217","195.0","22.0","KENDALLGASKINS"
"212","Julian Edelman","WR86","4","176","200","188.0","12.0","JULIANEDELMAN"
"213","Andre Caldwell","WR87","7","177","177","177.0","0.0","ANDRECALDWELL"
"214","Mike Tolbert","RB72","5","179","199","189.0","10.0","MIKETOLBERT"
"215","Damien Williams","RB73","5","178","178","178.0","0.0","DAMIENWILLIAMS"
"216","Cameron Artis-Payne","RB74","5","180","180","180.0","0.0","CAMERONARTISPAYNE"
"217","Robert Turbin","RB75","6","182","182","182.0","0.0","ROBERTTURBIN"
"218","Stedman Bailey","WR88","6","183","183","183.0","0.0","STEDMANBAILEY"
"219","Dwayne Bowe","WR89","11","185","185","185.0","0.0","DWAYNEBOWE"
"220","Philly Brown","WR90","5","186","186","186.0","0.0","PHILLYBROWN"
"221","Dwayne Allen","TE30","10","187","187","187.0","0.0","DWAYNEALLEN"
"222","Tre Mason","RB76","6","193","193","193.0","0.0","TREMASON"
"223","Kirk Cousins","QB27","8","196","196","196.0","0.0","KIRKCOUSINS"
"224","Cody Latimer","WR91","7","198","198","198.0","0.0","CODYLATIMER"
"225","Blaine Gabbert","QB28","10","202","202","202.0","0.0","BLAINEGABBERT"
"226","Brock Osweiler","QB29","7","203","203","203.0","0.0","BROCKOSWEILER"
"227","Matt Schaub","QB30","9","206","206","206.0","0.0","MATTSCHAUB"
"228","Case Keenum","QB31","6","207","207","207.0","0.0","CASEKEENUM"
"229","Brandon Bolden","RB77","4","212","212","212.0","0.0","BRANDONBOLDEN"
"230","Toby Gerhart","RB78","8","213","213","213.0","0.0","TOBYGERHART"
"231","Knile Davis","RB79","9","216","216","216.0","0.0","KNILEDAVIS"
"232","Jerricho Cotchery","WR92","5","218","218","218.0","0.0","JERRICHOCOTCHERY"
"233","Jeff Janis","WR93","7","219","219","219.0","0.0","JEFFJANIS"
"234","Brian Hartline","WR94","11","220","220","220.0","0.0","BRIANHARTLINE"
"235","Andrew Hawkins","WR95","11","221","221","221.0","0.0","ANDREWHAWKINS"
"236","Brent Celek","TE31","8","228","228","228.0","0.0","BRENTCELEK"
"237","Josh Hill","TE32","11","229","229","229.0","0.0","JOSHHILL"
