"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"192","Kenny Britt","WR78","vs.  ARI","149","176","166.5","7.4","KENNYBRITT"
"193","Owen Daniels","TE30","at  SD","130","173","153.5","13.7","OWENDANIELS"
"194","Bryan Walters","WR79","at  TEN","96","174","150.8","21.2","BRYANWALTERS"
"195","Chris Thompson","RB54","vs.  DAL","124","176","161.8","13.3","CHRISTHOMPSON"
"196","Albert Wilson","WR80","at  OAK","121","174","163.9","14.1","ALBERTWILSON"
"197","Mohamed Sanu","WR81","at  CLE","76","176","159.0","27.1","MOHAMEDSANU"
"198","Cameron Brate","TE31","vs.  ATL","89","168","143.9","30.0","CAMERONBRATE"
"199","Josh Bellamy","WR82","vs.  SF","120","169","144.0","16.4","JOSHBELLAMY"
"200","Terrance West","RB55","at  MIA","147","175","165.3","9.2","TERRANCEWEST"
"201","Philly Brown","WR83","at  NO","142","176","162.9","13.5","PHILLYBROWN"
"202","Chris Hogan","WR84","vs.  HOU","166","177","172.4","2.9","CHRISHOGAN"
"203","Mark Sanchez","QB33","at  NE","57","122","88.3","26.6","MARKSANCHEZ"
"204","Rashad Greene","WR85","at  TEN","150","173","161.9","8.8","RASHADGREENE"
"205","Mike Tolbert","RB56","at  NO","149","167","157.2","6.0","MIKETOLBERT"
"206","Brandon Coleman","WR86","vs.  CAR","145","176","163.7","10.7","BRANDONCOLEMAN"
"207","Brian Quick","WR87","vs.  ARI","153","174","165.4","7.5","BRIANQUICK"
"208","Tyler Kroft","TE32","at  CLE","133","151","140.3","7.3","TYLERKROFT"
"209","Nelson Agholor","WR88","at  NE","144","168","162.0","8.3","NELSONAGHOLOR"
"210","Nick Foles","QB34","vs.  ARI","83","86","84.5","1.5","NICKFOLES"
"211","Jesse James","TE33","vs.  IND","128","166","148.3","16.1","JESSEJAMES"
"212","Dwayne Allen","TE34","at  PIT","105","164","132.7","24.2","DWAYNEALLEN"
"213","Stepfan Taylor","RB57","at  STL","133","167","151.8","12.4","STEPFANTAYLOR"
"214","Lance Moore","WR89","vs.  GB","163","174","166.6","4.0","LANCEMOORE"
"215","Chris Conley","WR90","at  OAK","155","170","163.8","5.6","CHRISCONLEY"
"216","David Cobb","RB58","vs.  JAC","151","172","160.0","8.8","DAVIDCOBB"
"217","Jared Cook","TE35","vs.  ARI","152","167","161.3","6.6","JAREDCOOK"
"218","Jaron Brown","WR91","at  STL","168","171","169.3","1.2","JARONBROWN"
"219","Eddie Royal","WR92","vs.  SF","140","173","156.5","16.5","EDDIEROYAL"
"220","Jeremy Butler","WR93","at  MIA","158","172","165.0","7.0","JEREMYBUTLER"
"221","Fred Jackson","RB59","at  MIN","170","172","171.0","1.0","FREDJACKSON"
"222","Marcel Reece","RB60","vs.  KC","170","172","171.0","1.0","MARCELREECE"
