"Rank","Player","Pos","Bye","Best","Worst","Avg","Std","Player.Name"
"86","Jordan Matthews","WR32","vs.  WAS","63","116","88.5","11.3","JORDANMATTHEWS"
"87","Gary Barnidge","TE7","at  KC","71","122","90.0","10.9","GARYBARNIDGE"
"88","Benjamin Watson","TE8","vs.  JAC","63","128","91.6","10.8","BENJAMINWATSON"
"89","Giovani Bernard","RB24","at  DEN","37","143","92.6","18.3","GIOVANIBERNARD"
"90","Ted Ginn","WR33","at  ATL","32","114","94.1","13.3","TEDGINN"
"91","Rueben Randle","WR34","at  MIN","58","136","94.3","12.7","RUEBENRANDLE"
"92","Tyler Lockett","WR35","vs.  STL","11","134","95.3","16.0","TYLERLOCKETT"
"93","Jeremy Hill","RB25","at  DEN","63","137","94.5","16.4","JEREMYHILL"
"94","Matt Hasselbeck","QB26","at  MIA","33","93","66.5","13.4","MATTHASSELBECK"
"95","Stefon Diggs","WR36","vs.  NYG","63","148","97.3","10.6","STEFONDIGGS"
"96","Travis Kelce","TE9","vs.  CLE","79","133","98.0","11.0","TRAVISKELCE"
"97","Cameron Artis-Payne","RB26","at  ATL","47","175","95.7","22.7","CAMERONARTISPAYNE"
"98","Jimmy Clausen","QB27","vs.  PIT","42","102","66.6","12.3","JIMMYCLAUSEN"
"99","Anquan Boldin","WR37","at  DET","79","140","104.0","9.5","ANQUANBOLDIN"
"100","Ameer Abdullah","RB27","vs.  SF","42","155","104.7","18.1","AMEERABDULLAH"
"101","Travis Benjamin","WR38","at  KC","79","139","104.9","10.2","TRAVISBENJAMIN"
"102","Markus Wheaton","WR39","at  BAL","66","147","107.7","11.7","MARKUSWHEATON"
"103","Matt Jones","RB28","at  PHI","52","165","107.0","19.8","MATTJONES"
"104","Dorial Green-Beckham","WR40","vs.  HOU","90","162","107.4","10.8","DORIALGREENBECKHAM"
"105","Rashad Jennings","RB29","at  MIN","49","158","108.8","18.0","RASHADJENNINGS"
"106","Brandon LaFell","WR41","at  NYJ","65","153","110.5","13.8","BRANDONLAFELL"
"107","Zach Mettenberger","QB28","vs.  HOU","44","89","75.7","11.7","ZACHMETTENBERGER"
"108","Brandon Weeden","QB29","at  TEN","41","179","69.9","20.3","BRANDONWEEDEN"
"109","Will Tye","TE10","at  MIN","78","170","110.7","15.1","WILLTYE"
"110","Zach Miller","TE11","at  TB","73","160","111.3","12.7","ZACHMILLER"
"111","Devante Parker","WR42","vs.  IND","98","155","113.2","10.1","DEVANTEPARKER"
"112","Donte Moncrief","WR43","at  MIA","94","143","111.1","8.0","DONTEMONCRIEF"
"113","Pierre Garcon","WR44","at  PHI","56","136","114.6","11.4","PIERREGARCON"
"114","Ronnie Hillman","RB30","vs.  CIN","77","150","116.6","13.2","RONNIEHILLMAN"
"115","Marvin Jones","WR45","at  DEN","87","137","115.6","8.1","MARVINJONES"
