"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushYds","rushTds","recYds","recTds","returnTDs","twoPts","fumbles","pts","targets","rec","ownedPct","rushAtt"
"DONNIEAVERY","Donnie Avery","WR","KC",0,0,0,0,0,84,0,0,0,0,8.4,"13","7","2%","0"
"JUSTINHUNTER","Justin Hunter","WR","TEN",0,0,0,0,0,63,0,0,0,0,6.3,"8","3","70%","0"
"ANQUANBOLDIN","Anquan Boldin","WR","SF",0,0,0,0,0,99,0,0,0,0,9.9,"9","8","84%","0"
"RILEYCOOPER","Riley Cooper","WR","PHI",0,0,0,0,0,29,0,0,0,0,2.9,"7","4","75%","0"
"DOUGBALDWIN","Doug Baldwin","WR","SEA",0,0,0,0,0,14,0,0,0,0,1.4,"5","3","25%","0"
"ANTONIOGATES","Antonio Gates","TE","SD",0,0,0,0,0,81,0,0,0,0,8.1,"10","6","68%","0"
"GREGJENNINGS","Greg Jennings","WR","MIN",0,0,0,0,0,58,1,0,0,0,11.8,"7","6","38%","0"
"JEREMYHILL","Jeremy Hill","RB","CIN",0,0,0,19,0,0,0,0,0,0,1.9,"0","0","57%","4"
"JAREDCOOK","Jared Cook","TE","STL",0,0,0,0,0,56,0,0,0,0,5.6,"8","4","14%","0"
"SAMMYWATKINS","Sammy Watkins","WR","BUF",0,0,0,0,0,31,0,0,0,0,3.1,"4","3","86%","0"
"ALLENHURNS","Allen Hurns","WR","JAX",0,0,0,0,0,110,2,0,0,0,23,"9","4","11%","0"
"NATEWASHINGTON","Nate Washington","WR","TEN",0,0,0,0,0,59,0,0,0,0,5.9,"6","4","6%","0"
"LADARIUSGREEN","Ladarius Green","TE","SD",0,0,0,0,0,24,0,0,0,0,2.4,"2","2","67%","0"
"LEVINETOILOLO","Levine Toilolo","TE","ATL",0,0,0,0,0,19,1,0,0,0,7.9,"6","3","2%","0"
"TRAVISKELCE","Travis Kelce","TE","KC",0,0,0,0,0,49,0,0,0,0,4.9,"5","3","36%","0"
"DARRENMCFADDEN","Darren McFadden","RB","OAK",0,0,0,15,0,6,0,0,0,0,2.1,"1","1","38%","4"
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"-","-","40%","-"
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",0,0,0,0,0,87,0,0,0,0,8.7,"10","8","25%","0"
"RICHARDRODGERS","Richard Rodgers","TE","GB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"-","-","4%","-"
"RYANGRIFFIN","Ryan Griffin","TE","HOU",0,0,0,0,0,6,0,0,0,0,0.6,"2","1","0%","0"
"STEVESMITH","Steve Smith Sr.","WR","BAL",0,0,0,0,0,118,1,0,0,0,17.8,"15","7","40%","0"
"LAMARMILLER","Lamar Miller","RB","MIA",0,0,0,59,0,19,1,0,0,1,11.8,"5","4","78%","11"
