"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",21,101,4,NA,NA,NA,NA,NA,8,30,0,1,10,0,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",45,101,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",45,101,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"JOHNBROWN","WR","John Brown","ARI",45,101,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"FRANKIEHAMMOND","WR","Frankie Hammond Jr.","KC",45,101,4,NA,NA,NA,NA,NA,NA,NA,NA,4,40,0,NA,NA,NA
"ALLENHURNS","WR","Allen Hurns","JAC",45,101,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"BRIANQUICK","WR","Brian Quick","STL",45,101,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",13,101,4,NA,NA,NA,NA,NA,NA,NA,NA,4,40,0,NA,NA,NA
"DELANIEWALKER","TE","Delanie Walker","TEN",13,101,4,NA,NA,NA,NA,NA,NA,NA,NA,4,40,0,NA,NA,NA
"LANCEDUNBAR","RB","Lance Dunbar","DAL",24,112,3,NA,NA,NA,NA,NA,5,20,0,1,10,0,NA,NA,NA
"JUSTINFORSETT","RB","Justin Forsett","BAL",24,112,3,NA,NA,NA,NA,NA,5,20,0,2,10,0,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",24,112,3,NA,NA,NA,NA,NA,5,20,0,1,10,0,NA,NA,NA
"DENARDROBINSON","RB","Denard Robinson","JAC",24,112,3,NA,NA,NA,NA,NA,4,20,0,1,10,0,NA,NA,NA
"ROBERTTURBIN","RB","Robert Turbin","SEA",24,112,3,NA,NA,NA,NA,NA,4,20,0,1,10,0,NA,NA,NA
"MARLONBROWN","WR","Marlon Brown","BAL",51,112,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"ANDRECALDWELL","WR","Andre Caldwell","DEN",51,112,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",51,112,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"ANDREHOLMES","WR","Andre Holmes","OAK",51,112,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",51,112,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",51,112,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"ALLENROBINSON","WR","Allen Robinson","JAC",51,112,3,NA,NA,NA,NA,NA,NA,NA,NA,2,30,0,NA,NA,NA
"DWAYNEALLEN","TE","Dwayne Allen","IND",15,112,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"BRENTCELEK","TE","Brent Celek","PHI",15,112,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","STL",15,112,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"TYLEREIFERT","TE","Tyler Eifert","CIN",15,112,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"CJFIEDOROWICZ","TE","C.J. Fiedorowicz","HOU",15,112,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"COBYFLEENER","TE","Coby Fleener","IND",15,112,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"LADARIUSGREEN","TE","Ladarius Green","SD",15,112,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"BRANDONMYERS","TE","Brandon Myers","TB",15,112,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"RICHARDRODGERS","TE","Richard Rodgers","GB",15,112,3,NA,NA,NA,NA,NA,NA,NA,NA,3,30,0,NA,NA,NA
"CARLOSHYDE","RB","Carlos Hyde","SF",29,133,2,NA,NA,NA,NA,NA,5,20,0,0,0,0,NA,NA,NA
"BOBBYRAINEY","RB","Bobby Rainey","TB",29,133,2,NA,NA,NA,NA,NA,5,20,0,0,0,0,NA,NA,NA
