"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"JAMESSTARKS","James Starks","RB","GB",40,140,NA,NA,NA,NA,NA,NA,NA,6,31,5.2,0,2,21,10.5,0,NA,0,5
"DWAYNEBOWE","Dwayne Bowe","WR","KC",50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,57,14.2,0,NA,0,5
"KENDALLWRIGHT","Kendall Wright","WR","TEN",50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,59,11.8,0,NA,0,5
"RILEYCOOPER","Riley Cooper","WR","PHI",50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,56,14,0,NA,0,5
"JARIUSWRIGHT","Jarius Wright","WR","MIN",50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,57,14.2,0,NA,0,5
"ANQUANBOLDIN","Anquan Boldin","WR","SF",50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,53,13.2,0,NA,0,5
"LOUISMURPHY","Louis Murphy","WR","TB",50,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,58,14.5,0,NA,0,5
"NILESPAUL","Niles Paul","TE","WAS",22,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,53,13.2,0,NA,0,5
"COBYFLEENER","Coby Fleener","TE","IND",22,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,51,17,0,NA,0,5
"SCOTTCHANDLER","Scott Chandler","TE","BUF",22,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,52,13,0,NA,0,5
"JAREDCOOK","Jared Cook","TE","STL",22,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,51,12.8,0,NA,0,5
"ROYHELU","Roy Helu","RB","WAS",47,157,NA,NA,NA,NA,NA,NA,NA,4,14,3.5,0,4,32,8,0,NA,0,4
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",47,157,NA,NA,NA,NA,NA,NA,NA,8,44,5.5,0,0,0,0,0,NA,0,4
"TERRANCEWEST","Terrance West","RB","CLE",47,157,NA,NA,NA,NA,NA,NA,NA,8,33,4.1,0,3,19,6.3,0,NA,0,4
"ROBERTTURBIN","Robert Turbin","RB","SEA",47,157,NA,NA,NA,NA,NA,NA,NA,5,22,4.4,0,2,21,10.5,0,NA,0,4
"JERRICHOCOTCHERY","Jerricho Cotchery","WR","CAR",56,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42,14,0,NA,0,4
"HAKEEMNICKS","Hakeem Nicks","WR","IND",56,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,41,13.7,0,NA,0,4
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",56,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,35,8.8,0,NA,0,4
"KENNYSTILLS","Kenny Stills","WR","NO",56,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42,14,0,NA,0,4
