"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"CLAYHARBOR","TE","Clay Harbor","JAX",22,168,3.2,NA,NA,0,0,0,NA,0,0,NA,32,0,NA,0,0
"LEVINETOILOLO","TE","Levine Toilolo","ATL",22,168,3.2,NA,NA,0,0,0,NA,0,0,NA,32,0,NA,0,0
"DONALDBROWN","RB","Donald Brown","SD",49,175,3.1,NA,NA,0,0,0,NA,22,0,NA,9,0,NA,0,0
"THEORIDDICK","RB","Theo Riddick","DET",49,175,3.1,NA,NA,0,0,0,NA,21,0,NA,10,0,NA,0,0
"MARLONBROWN","WR","Marlon Brown","BAL",75,175,3.1,NA,NA,0,0,0,NA,0,0,NA,31,0,NA,0,0
"RILEYCOOPER","WR","Riley Cooper","PHI",75,175,3.1,NA,NA,0,0,0,NA,0,0,NA,31,0,NA,0,0
"RICARDOLOCKETTE","WR","Ricardo Lockette","SEA",75,175,3.1,NA,NA,0,0,0,NA,0,0,NA,31,0,NA,0,0
"LANCEDUNBAR","RB","Lance Dunbar","DAL",51,180,3,NA,NA,0,0,0,NA,25,0,NA,5,0,NA,0,0
"KESHAWNMARTIN","WR","Keshawn Martin","HOU",78,180,3,NA,NA,0,0,0,NA,0,0,NA,30,0,NA,0,0
"ERICEBRON","TE","Eric Ebron","DET",25,180,3,NA,NA,0,0,0,NA,0,0,NA,30,0,NA,0,0
"LANCEKENDRICKS","TE","Lance Kendricks","STL",25,180,3,NA,NA,0,0,0,NA,0,0,NA,30,0,NA,0,0
"BRANDONBOLDEN","RB","Brandon Bolden","NE",52,184,2.9,NA,NA,0,0,0,NA,19,0,NA,10,0,NA,0,0
"MATTASIATA","RB","Matt Asiata","MIN",53,185,2.8,NA,NA,0,0,0,NA,22,0,NA,6,0,NA,0,0
"ANDRECALDWELL","WR","Andre Caldwell","DEN",79,185,2.8,NA,NA,0,0,0,NA,0,0,NA,28,0,NA,0,0
"JACOBYJONES","WR","Jacoby Jones","BAL",79,185,2.8,NA,NA,0,0,0,NA,0,0,NA,28,0,NA,0,0
"ACESANDERS","WR","Ace Sanders","JAX",79,185,2.8,NA,NA,0,0,0,NA,0,0,NA,28,0,NA,0,0
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",27,185,2.8,NA,NA,0,0,0,NA,0,0,NA,28,0,NA,0,0
"RICHARDRODGERS","TE","Richard Rodgers","GB",27,185,2.8,NA,NA,0,0,0,NA,0,0,NA,28,0,NA,0,0
