"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"CHRISIVORY","RB","Chris Ivory","NYJ",36,127,5,NA,NA,NA,NA,NA,9,40,0,1,10,0,NA,NA,NA
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",36,127,5,NA,NA,NA,NA,NA,5,20,0,4,30,0,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",36,127,5,NA,NA,NA,NA,NA,9,40,0,1,10,0,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",36,127,5,NA,NA,NA,NA,NA,5,20,0,5,30,0,NA,NA,NA
"PIERRETHOMAS","RB","Pierre Thomas","NO",36,127,5,NA,NA,NA,NA,NA,5,20,0,4,30,0,NA,NA,NA
"DANNYWOODHEAD","RB","Danny Woodhead","SD",36,127,5,NA,NA,NA,NA,NA,4,20,0,4,30,0,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","CLE",47,127,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",47,127,5,NA,NA,NA,NA,NA,NA,NA,NA,3,50,0,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",47,127,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",47,127,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",47,127,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","IND",47,127,5,NA,NA,NA,NA,NA,NA,NA,NA,3,50,0,NA,NA,NA
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",47,127,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"STEVESMITH","WR","Steve Smith","BAL",47,127,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"RODSTREATER","WR","Rod Streater","OAK",47,127,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",15,127,5,NA,NA,NA,NA,NA,NA,NA,NA,5,50,0,NA,NA,NA
"JORDANREED","TE","Jordan Reed","WAS",15,127,5,NA,NA,NA,NA,NA,NA,NA,NA,4,50,0,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",42,144,4,NA,NA,NA,NA,NA,7,30,0,1,10,0,NA,NA,NA
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",42,144,4,NA,NA,NA,NA,NA,8,30,0,1,10,0,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","TEN",42,144,4,NA,NA,NA,NA,NA,13,40,0,0,0,0,NA,NA,NA
"ROYHELU","RB","Roy Helu","WAS",42,144,4,NA,NA,NA,NA,NA,5,20,0,3,20,0,NA,NA,NA
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",42,144,4,NA,NA,NA,NA,NA,5,20,0,3,20,0,NA,NA,NA
"BISHOPSANKEY","RB","Bishop Sankey","TEN",42,144,4,NA,NA,NA,NA,NA,7,30,0,1,10,0,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",42,144,4,NA,NA,NA,NA,NA,8,30,0,1,10,0,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"TAVONAUSTIN","WR","Tavon Austin","STL",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","KC",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"JOHNBROWN","WR","John Brown","ARI",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"HARRYDOUGLAS","WR","Harry Douglas","ATL",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,3,40,0,NA,NA,NA
"FRANKIEHAMMOND","WR","Frankie Hammond Jr.","KC",56,144,4,NA,NA,NA,NA,NA,NA,NA,NA,4,40,0,NA,NA,NA
