"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"KERWYNNWILLIAMS","RB","Kerwynn Williams","ARI",50,166,3.3,NA,NA,0,0,0,NA,28,0,NA,5,0,NA,0,0
"KENNYBRITT","WR","Kenny Britt","STL",66,166,3.3,NA,NA,0,0,0,NA,1,0,NA,32,0,NA,0,0
"KESHAWNMARTIN","WR","Keshawn Martin","NE",66,166,3.3,NA,NA,0,0,0,NA,0,0,NA,33,0,NA,0,0
"JAREDCOOK","TE","Jared Cook","STL",23,166,3.3,NA,NA,0,0,0,NA,0,0,NA,33,0,NA,0,0
"VERNONDAVIS","TE","Vernon Davis","DEN",23,166,3.3,NA,NA,0,0,0,NA,0,0,NA,33,0,NA,0,0
"VANCEMCDONALD","TE","Vance McDonald","SF",23,166,3.3,NA,NA,0,0,0,NA,0,0,NA,33,0,NA,0,0
"KENJONBARNER","RB","Kenjon Barner","PHI",51,172,3.2,NA,NA,0,0,0,NA,29,0,NA,3,0,NA,0,0
"JOSHHUFF","WR","Josh Huff","PHI",68,172,3.2,NA,NA,0,0,0,NA,0,0,NA,32,0,NA,0,0
"STEVANRIDLEY","RB","Stevan Ridley","NYJ",52,174,3.1,NA,NA,0,0,0,NA,27,0,NA,4,0,NA,0,0
"RASHADJENNINGS","RB","Rashad Jennings","NYG",53,175,3,NA,NA,0,0,0,NA,23,0,NA,7,0,NA,0,0
"OWENDANIELS","TE","Owen Daniels","DEN",26,175,3,NA,NA,0,0,0,NA,0,0,NA,30,0,NA,0,0
"TERRANCEWEST","RB","Terrance West","BAL",54,177,2.9,NA,NA,0,0,0,NA,24,0,NA,5,0,NA,0,0
"BRIANQUICK","WR","Brian Quick","STL",69,177,2.9,NA,NA,0,0,0,NA,0,0,NA,29,0,NA,0,0
"TORREYSMITH","WR","Torrey Smith","SF",69,177,2.9,NA,NA,0,0,0,NA,0,0,NA,29,0,NA,0,0
"MAXXWILLIAMS","TE","Maxx Williams","BAL",27,177,2.9,NA,NA,0,0,0,NA,0,0,NA,29,0,NA,0,0
"MATTASIATA","RB","Matt Asiata","MIN",55,181,2.8,NA,NA,0,0,0,NA,19,0,NA,9,0,NA,0,0
"ANDREWILLIAMS","RB","Andre Williams","NYG",55,181,2.8,NA,NA,0,0,0,NA,25,0,NA,3,0,NA,0,0
"ANDRECALDWELL","WR","Andre Caldwell","DEN",71,181,2.8,NA,NA,0,0,0,NA,0,0,NA,28,0,NA,0,0
"MYCHALRIVERA","TE","Mychal Rivera","OAK",28,181,2.8,NA,NA,0,0,0,NA,0,0,NA,28,0,NA,0,0
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",57,185,2.7,NA,NA,0,0,0,NA,10,0,NA,17,0,NA,0,0
"TREMASON","RB","Tre Mason","STL",57,185,2.7,NA,NA,0,0,0,NA,21,0,NA,6,0,NA,0,0
"DEVINFUNCHESS","WR","Devin Funchess","CAR",72,185,2.7,NA,NA,0,0,0,NA,0,0,NA,27,0,NA,0,0
