"name","pos","age","date","team","home.game","opponent","result","week","day","game","year","week.1","passYds","passTds","passInt","rushYds","rushTds","rec","recYds","recTds"
"JUSTINFORSETT","RB","28-356","2014-10-05","BAL",TRUE,"IND","L 13-20",5,"Sun",5,2014,5,NA,NA,NA,42,1,7,55,0
"JUSTINHUNTER","WR","23-138","2014-10-05","TEN",FALSE,"CLE","L 28-29",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,99,1
"JUWANTHOMPSON","RB","22-145","2014-10-05","DEN",FALSE,"ARI","W 41-20",5,"Sun",4,2014,5,NA,NA,NA,15,1,NA,NA,NA
"KADEEMCAREY","RB","21-340","2014-10-05","CHI",TRUE,"CAR","L 24-31",5,"Sun",5,2014,5,NA,NA,NA,2,0,NA,NA,NA
"KAMARAIKEN","WR","25-128","2014-10-05","BAL",TRUE,"IND","L 13-20",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,8,0
"KEENANALLEN","WR","22-161","2014-10-05","SDG",FALSE,"NYJ","W 31-0",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,25,0
"KELVINBENJAMIN","WR","23-242","2014-10-05","CAR",FALSE,"CHI","W 31-24",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,3,38,0
"KENDALLWRIGHT","RB","24-327","2014-10-05","TEN",FALSE,"CLE","L 28-29",5,"Sun",5,2014,5,NA,NA,NA,43,0,6,47,2
"KENNYBRITT","WR","26-016","2014-10-05","STL",TRUE,"PHI","L 28-34",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,3,68,1
"KENNYSTILLS","WR","22-166","2014-10-05","NOR",FALSE,"TAM","W 37-31",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,16,0
"KESHAWNMARTIN","WR","24-204","2014-10-05","HOU",TRUE,"DAL","L 17-20",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,7,0
"KHIRYROBINSON","RB","24-281","2014-10-05","NOR",FALSE,"TAM","W 37-31",5,"Sun",5,2014,5,NA,NA,NA,89,1,1,8,0
"KIRKCOUSINS","QB","26-048","2014-10-06","WAS",FALSE,"SEA","L 17-27",5,"Mon",5,2014,5,283,2,0,4,0,NA,NA,NA
"KNILEDAVIS","RB","23-000","2014-10-05","KAN",TRUE,"SFO","L 17-22",5,"Sun",5,2014,5,NA,NA,NA,6,0,NA,NA,NA
"KYLEORTON","QB","31-325","2014-10-05","BUF",TRUE,"DET","W 17-14",5,"Sun",5,2014,5,308,1,1,0,0,NA,NA,NA
"LADARIUSGREEN","WR","24-129","2014-10-05","SDG",FALSE,"NYJ","W 31-0",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,8,0
"LANCEKENDRICKS","WR","26-248","2014-10-05","STL",TRUE,"PHI","L 28-34",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,1,22,0
"LANCEMOORE","WR","31-035","2014-10-05","PIT",TRUE,"JAX","W 17-9",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,26,0
"LARRYFITZGERALD","WR","31-035","2014-10-05","ARI",TRUE,"DEN","L 20-41",5,"Sun",4,2014,5,NA,NA,NA,NA,NA,3,57,0
"LEGARRETTEBLOUNT","RB","27-304","2014-10-05","PIT",TRUE,"JAX","W 17-9",5,"Sun",5,2014,5,NA,NA,NA,29,0,3,17,0
"LEONWASHINGTON","WR","32-037","2014-10-05","TEN",FALSE,"CLE","L 28-29",5,"Sun",5,2014,5,NA,NA,NA,NA,NA,1,7,0
