"name","pos","name_yahoo","team_yahoo","positionRank_yahoo","overallRank_yahoo","pts_yahoo","passAtt_yahoo","passComp_yahoo","passYds_yahoo","passTds_yahoo","passInt_yahoo","rushAtt_yahoo","rushYds_yahoo","rushTds_yahoo","rec_yahoo","recYds_yahoo","recTds_yahoo","returnTds_yahoo","twoPts_yahoo","fumbles_yahoo"
"EDDICKSON","TE","Ed Dickson","CAR",47,268,2.33,1.7,NA,0,0,0,0,0,0,1.1,13.1,0.1,0,0,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","PIT",82,268,2.33,0.4,NA,0,0,0,3.8,16.8,0,0.3,2.3,0,0,0,0
"AARONDOBSON","WR","Aaron Dobson","NE",109,270,2.32,1.5,NA,0,0,0,0,0,0,1,13,0.1,0,0,0
"MATTASIATA","RB","Matt Asiata","MIN",83,271,2.25,1.3,NA,0,0,0,1.1,4.6,0.1,1,7.8,0,0,0,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",83,271,2.25,0.6,NA,0,0,0,2.5,10.2,0.1,0.5,4.1,0,0,0,0
"SCOTTCHANDLER","TE","Scott Chandler","NE",48,273,2.24,1.5,NA,0,0,0,0,0,0,1,11.6,0.1,0,0,0
"MARLONBROWN","WR","Marlon Brown","BAL",110,274,2.22,1.5,NA,0,0,0,0,0,0,1,12.3,0.1,0,0,0
"DEREKCARRIER","TE","Derek Carrier","WAS",49,274,2.22,1.6,NA,0,0,0,0,0,0,1.1,11.9,0.1,0,0,0
"STEVANRIDLEY","RB","Stevan Ridley","NYJ",85,276,2.19,0.1,NA,0,0,0,3.5,15.2,0.1,0.1,0.9,0,0,0,0
"DANIELFELLS","TE","Daniel Fells","NYG",50,277,2.09,1.5,NA,0,0,0,0,0,0,1,11.1,0.1,0,0,0
"CHRISMATTHEWS","WR","Chris Matthews","SEA",111,278,2.07,1.3,NA,0,0,0,0,0,0,0.8,11.3,0.1,0,0,0
"DRIARCHERPIT","RB","Dri Archer Pit","PIT",86,279,2.04,1.5,NA,0,0,0,0.7,2.7,0,1.1,9.4,0,0,0,0
