"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"JUSTINHUNTER","WR","Justin Hunter","TEN",70,172,2.9,NA,NA,0,0,0,NA,0,0,NA,29,0,NA,0,0
"ROBERTTURBIN","RB","Robert Turbin","CLE",51,176,2.8,NA,NA,0,0,0,NA,16,0,NA,12,0,NA,0,0
"COBYFLEENER","TE","Coby Fleener","IND",28,176,2.8,NA,NA,0,0,0,NA,0,0,NA,28,0,NA,0,0
"MIKETOLBERT","RB","Mike Tolbert","CAR",52,178,2.7,NA,NA,0,0,0,NA,13,0,NA,14,0,NA,0,0
"STEDMANBAILEY","WR","Stedman Bailey","STL",73,178,2.7,NA,NA,0,0,0,NA,2,0,NA,25,0,NA,0,0
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",29,178,2.7,NA,NA,0,0,0,NA,0,0,NA,27,0,NA,0,0
"TOBYGERHART","RB","Toby Gerhart","JAC",53,181,2.6,NA,NA,0,0,0,NA,18,0,NA,8,0,NA,0,0
"AARONDOBSON","WR","Aaron Dobson","NE",74,181,2.6,NA,NA,0,0,0,NA,0,0,NA,26,0,NA,0,0
"DEVINFUNCHESS","WR","Devin Funchess","CAR",74,181,2.6,NA,NA,0,0,0,NA,0,0,NA,26,0,NA,0,0
"MATTASIATA","RB","Matt Asiata","MIN",54,184,2.5,NA,NA,0,0,0,NA,18,0,NA,7,0,NA,0,0
"JONASGRAY","RB","Jonas Gray","MIA",54,184,2.5,NA,NA,0,0,0,NA,23,0,NA,2,0,NA,0,0
"VICTORCRUZ","WR","Victor Cruz","NYG",76,184,2.5,NA,NA,0,0,0,NA,0,0,NA,25,0,NA,0,0
"DWAYNEALLEN","TE","Dwayne Allen","IND",30,184,2.5,NA,NA,0,0,0,NA,0,0,NA,25,0,NA,0,0
"GAVINESCOBAR","TE","Gavin Escobar","DAL",30,184,2.5,NA,NA,0,0,0,NA,0,0,NA,25,0,NA,0,0
"KADEEMCAREY","RB","Ka'Deem Carey","CHI",56,189,2.4,NA,NA,0,0,0,NA,17,0,NA,7,0,NA,0,0
"DANHERRON","RB","Dan Herron","BUF",56,189,2.4,NA,NA,0,0,0,NA,17,0,NA,7,0,NA,0,0
"NELSONAGHOLOR","WR","Nelson Agholor","PHI",77,189,2.4,NA,NA,0,0,0,NA,0,0,NA,24,0,NA,0,0
"COLEBEASLEY","WR","Cole Beasley","DAL",77,189,2.4,NA,NA,0,0,0,NA,0,0,NA,24,0,NA,0,0
"ANDREJOHNSON","WR","Andre Johnson","IND",77,189,2.4,NA,NA,0,0,0,NA,0,0,NA,24,0,NA,0,0
"BRANDONBOLDEN","RB","Brandon Bolden","NE",58,194,2.3,NA,NA,0,0,0,NA,17,0,NA,6,0,NA,0,0
